key,board,summary,description,acceptance_criteria,status,assignee,reporter,priority,issue_type,created,closed,labels,components,sprint,sprint_state,sprint_start_date,sprint_end_date,story_points,epic_id,employee_type,requested_by,fix_versions
APS-3-8,APS2,TASK 89 for APS2,Description for Task 89 in APS2,Acceptance criteria for issue type Story in APS2 with issue key APS-3-8,To Do,Dube,Bhuvi,Medium,Story,2025-03-20,,[],[],Sprint 9,Future,2025-04-23,2025-05-06,5,APS-3,FTE,RTB,APS2-8783
APS-4-8,APS2,TASK 90 for APS2,Description for Task 90 in APS2,Acceptance criteria for issue type Defect in APS2 with issue key APS-4-8,Done,Ashwin,Bhuvi,High,Defect,2025-03-24,2025-03-19,['frontend'],['UI'],Sprint 6,Completed,2025-03-12,2025-03-25,2,APS-4,FTC,CTB,APS2-8783
APS-1-7,APS1,TASK 91 for APS1,Description for Task 91 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-1-7,Done,Khaleel,Madhu,High,Defect,2025-03-20,2025-02-01,['frontend'],['Database'],Sprint 3,Completed,2025-01-28,2025-02-10,3,APS-1,FTC,CTB,APS1-8784
TES-3-7,TES2,TASK 92 for TES2,Description for Task 92 in TES2,Acceptance criteria for issue type Defect in TES2 with issue key TES-3-7,Done,Rachin,Smrithi,High,Defect,2025-03-20,2025-02-16,['UI'],['Auth Service'],Sprint 4,Completed,2025-02-11,2025-02-24,2,TES-3,FTC,RTB,TES2-8785
DIS-1-3,CDF,TASK 93 for CDF,Description for Task 93 in CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-1-3,Done,Rishika,Tony,Medium,Defect,2025-04-05,2025-02-08,['UI'],['Auth Service'],Sprint 3,Completed,2025-01-28,2025-02-10,2,DIS-1,FTE,RTB,CDF1-8786
APS-4-9,APS2,TASK 94 for APS2,Description for Task 94 in APS2,Acceptance criteria for issue type Task in APS2 with issue key APS-4-9,To Do,Ashwin,Ravi,Medium,Task,2025-04-01,,['frontend'],['API'],Sprint 10,Future,2025-05-07,2025-05-20,5,APS-4,FTC,CTB,APS2-8785
DIS-4-4,CDF,TASK 95 for CDF,Description for Task 95 in CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-4-4,Done,Hari,Naruto,Low,Defect,2025-03-27,2025-02-17,['UI'],[],Sprint 4,Completed,2025-02-11,2025-02-24,1,DIS-4,FTE,CTB,CDF1-8784
TES-2-11,TES1,TASK 96 for TES1,Description for Task 96 in TES1,Acceptance criteria for issue type Task in TES1 with issue key TES-2-11,Done,Krithika,Shubman,Medium,Task,2025-04-10,2025-02-21,['frontend'],[],Sprint 4,Completed,2025-02-11,2025-02-24,3,TES-2,FTE,RTB,TES1-8784
TES-3-8,TES2,TASK 97 for TES2,Description for Task 97 in TES2,Acceptance criteria for issue type Task in TES2 with issue key TES-3-8,Done,Seetha,Pradeep,Critical,Task,2025-03-20,2025-03-29,['bugfix'],['Auth Service'],Sprint 7,Completed,2025-03-26,2025-04-08,1,TES-3,FTC,RTB,TES2-8783
APS-1-8,APS1,TASK 98 for APS1,Description for Task 98 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-1-8,Done,Noor,Shreya,High,Defect,2025-03-26,2025-04-16,['frontend'],['Payment Service'],Sprint 8,Active,2025-04-09,2025-04-22,2,APS-1,FTE,CTB,APS1-8786
DIS-2-1,CDF,TASK 99 for CDF,Description for Task 99 in CDF,Acceptance criteria for issue type Story in CDF with issue key DIS-2-1,To Do,Rishika,Tony,Low,Story,2025-03-31,,['enhancement'],['UI'],Sprint 8,Active,2025-04-09,2025-04-22,2,DIS-2,FTE,CTB,CDF1-8785
TES-3-9,TES2,TASK 100 for TES2,Description for Task 100 in TES2,Acceptance criteria for issue type Defect in TES2 with issue key TES-3-9,Done,Rachin,Smrithi,Critical,Defect,2025-04-04,2025-03-18,['enhancement'],[],Sprint 6,Completed,2025-03-12,2025-03-25,5,TES-3,FTC,RTB,TES2-8786
DIS-6-5,EBSNF,TASK 101 for EBSNF,Description for Task 101 in EBSNF,Acceptance criteria for issue type Task in EBSNF with issue key DIS-6-5,Done,Peter,Zoro,Low,Task,2025-03-23,2025-02-28,['bugfix'],[],Sprint 5,Completed,2025-02-25,2025-03-11,2,DIS-6,FTC,CTB,EBSNF1-8784
APS-3-9,APS2,TASK 102 for APS2,Description for Task 102 in APS2,Acceptance criteria for issue type Story in APS2 with issue key APS-3-9,Done,Vikram,Bhuvi,High,Story,2025-04-04,2025-04-16,['bugfix'],['UI'],Sprint 8,Active,2025-04-09,2025-04-22,1,APS-3,FTC,RTB,APS2-8785
APS-2-15,APS1,TASK 103 for APS1,Description for Task 103 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-2-15,Done,Khaleel,Madhu,Medium,Story,2025-03-18,2025-02-17,['backend'],['API'],Sprint 4,Completed,2025-02-11,2025-02-24,5,APS-2,FTC,RTB,APS1-8785
TES-1-15,TES1,TASK 104 for TES1,Description for Task 104 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-1-15,In Progress,David,Shubman,Medium,Defect,2025-03-28,,[],['API'],Sprint 8,Active,2025-04-09,2025-04-22,2,TES-1,FTC,CTB,TES1-8786
APS-1-9,APS1,TASK 105 for APS1,Description for Task 105 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-1-9,Done,Nitish,Madhu,Low,Defect,2025-03-23,2025-01-23,['UI'],['Payment Service'],Sprint 2,Completed,2025-01-14,2025-01-27,5,APS-1,FTE,CTB,APS1-8786
DIS-5-1,EBSNF,TASK 106 for EBSNF,Description for Task 106 in EBSNF,Acceptance criteria for issue type Defect in EBSNF with issue key DIS-5-1,To Do,David,Zoro,Medium,Defect,2025-04-06,,['bugfix'],['API'],Sprint 10,Future,2025-05-07,2025-05-20,2,DIS-5,FTC,RTB,EBSNF1-8785
APS-1-10,APS1,TASK 107 for APS1,Description for Task 107 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-1-10,Done,Noor,Shreya,High,Story,2025-03-26,2025-02-27,['backend'],['Database'],Sprint 5,Completed,2025-02-25,2025-03-11,1,APS-1,FTE,CTB,APS1-8786
APS-2-16,APS1,TASK 108 for APS1,Description for Task 108 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-2-16,Done,Nitish,Madhu,Low,Defect,2025-04-11,2025-03-29,['UI'],['Payment Service'],Sprint 7,Completed,2025-03-26,2025-04-08,5,APS-2,FTE,RTB,APS1-8784
DIS-5-2,EBSNF,TASK 109 for EBSNF,Description for Task 109 in EBSNF,Acceptance criteria for issue type Story in EBSNF with issue key DIS-5-2,Done,Peter,Hinata,Low,Story,2025-03-18,2025-03-23,['UI'],[],Sprint 6,Completed,2025-03-12,2025-03-25,5,DIS-5,FTC,RTB,EBSNF1-8783
DIS-6-6,EBSNF,TASK 110 for EBSNF,Description for Task 110 in EBSNF,Acceptance criteria for issue type Defect in EBSNF with issue key DIS-6-6,Done,David,Zoro,Medium,Defect,2025-04-07,2025-01-09,['bugfix'],['UI'],Sprint 1,Completed,2025-01-01,2025-01-13,2,DIS-6,FTC,CTB,EBSNF1-8785
APS-1-11,APS1,TASK 111 for APS1,Description for Task 111 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-1-11,Done,Khaleel,Madhu,Medium,Story,2025-03-18,2025-02-28,['enhancement'],['UI'],Sprint 5,Completed,2025-02-25,2025-03-11,3,APS-1,FTC,CTB,APS1-8785
APS-4-10,APS2,TASK 112 for APS2,Description for Task 112 in APS2,Acceptance criteria for issue type Story in APS2 with issue key APS-4-10,Done,Vikram,Ravi,High,Story,2025-04-10,2025-03-03,['backend'],['Auth Service'],Sprint 5,Completed,2025-02-25,2025-03-11,5,APS-4,FTC,CTB,APS2-8783
DIS-2-2,CDF,TASK 113 for CDF,Description for Task 113 in CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-2-2,Done,Alice,Tony,Low,Task,2025-04-03,2025-01-19,[],['Payment Service'],Sprint 2,Completed,2025-01-14,2025-01-27,2,DIS-2,FTC,CTB,CDF1-8783
DIS-7-7,EBSNF,TASK 114 for EBSNF,Description for Task 114 in EBSNF,Acceptance criteria for issue type Defect in EBSNF with issue key DIS-7-7,Done,Alok,Zoro,Critical,Defect,2025-03-25,2025-01-23,['UI'],[],Sprint 2,Completed,2025-01-14,2025-01-27,2,DIS-7,FTE,RTB,EBSNF1-8785
TES-2-12,TES1,TASK 115 for TES1,Description for Task 115 in TES1,Acceptance criteria for issue type Story in TES1 with issue key TES-2-12,Done,Sai,Shubman,Critical,Story,2025-03-22,2025-03-02,['enhancement'],['API'],Sprint 5,Completed,2025-02-25,2025-03-11,2,TES-2,FTE,RTB,TES1-8786
APS-4-11,APS2,TASK 116 for APS2,Description for Task 116 in APS2,Acceptance criteria for issue type Story in APS2 with issue key APS-4-11,To Do,Dube,Bhuvi,High,Story,2025-04-03,,[],['Payment Service'],Sprint 9,Future,2025-04-23,2025-05-06,3,APS-4,FTE,CTB,APS2-8784
DIS-7-8,EBSNF,TASK 117 for EBSNF,Description for Task 117 in EBSNF,Acceptance criteria for issue type Story in EBSNF with issue key DIS-7-8,Done,Apoorva,Zoro,Low,Story,2025-03-28,2025-02-27,['bugfix'],['Auth Service'],Sprint 5,Completed,2025-02-25,2025-03-11,1,DIS-7,FTE,RTB,EBSNF1-8783
APS-1-12,APS1,TASK 118 for APS1,Description for Task 118 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-1-12,Done,Nitish,Shreya,Low,Defect,2025-04-10,2025-03-10,['frontend'],['Payment Service'],Sprint 5,Completed,2025-02-25,2025-03-11,5,APS-1,FTE,CTB,APS1-8786
TES-2-13,TES1,TASK 119 for TES1,Description for Task 119 in TES1,Acceptance criteria for issue type Task in TES1 with issue key TES-2-13,Done,David,Ishan,Medium,Task,2025-04-09,2025-02-04,[],['UI'],Sprint 3,Completed,2025-01-28,2025-02-10,2,TES-2,FTC,RTB,TES1-8786
DIS-4-5,CDF,TASK 120 for CDF,Description for Task 120 in CDF,Acceptance criteria for issue type Story in CDF with issue key DIS-4-5,In Progress,Apoorva,Tony,High,Story,2025-03-20,,['enhancement'],['Database'],Sprint 8,Active,2025-04-09,2025-04-22,2,DIS-4,FTE,CTB,CDF1-8784
APS-1-13,APS1,TASK 121 for APS1,Description for Task 121 in APS1,Acceptance criteria for issue type Task in APS1 with issue key APS-1-13,Done,Noor,Shreya,High,Task,2025-03-26,2025-01-22,['enhancement'],['Auth Service'],Sprint 2,Completed,2025-01-14,2025-01-27,5,APS-1,FTE,CTB,APS1-8783
TES-4-4,TES2,TASK 122 for TES2,Description for Task 122 in TES2,Acceptance criteria for issue type Story in TES2 with issue key TES-4-4,Done,Rasheed,Smrithi,High,Story,2025-03-20,2025-02-05,['enhancement'],['UI'],Sprint 3,Completed,2025-01-28,2025-02-10,5,TES-4,FTE,CTB,TES2-8783
DIS-4-6,CDF,TASK 123 for CDF,Description for Task 123 in CDF,Acceptance criteria for issue type Story in CDF with issue key DIS-4-6,Done,Apoorva,Tony,Critical,Story,2025-03-26,2025-01-25,['frontend'],[],Sprint 2,Completed,2025-01-14,2025-01-27,5,DIS-4,FTE,CTB,CDF1-8785
TES-3-10,TES2,TASK 124 for TES2,Description for Task 124 in TES2,Acceptance criteria for issue type Task in TES2 with issue key TES-3-10,Done,Rachin,Smrithi,High,Task,2025-04-02,2025-01-02,['backend'],['Payment Service'],Sprint 1,Completed,2025-01-01,2025-01-13,2,TES-3,FTC,RTB,TES2-8784
TES-2-14,TES1,TASK 125 for TES1,Description for Task 125 in TES1,Acceptance criteria for issue type Story in TES1 with issue key TES-2-14,Done,Sai,Ishan,Medium,Story,2025-03-25,2025-03-27,['frontend'],['Auth Service'],Sprint 7,Completed,2025-03-26,2025-04-08,2,TES-2,FTE,RTB,TES1-8784
APS-4-12,APS2,TASK 126 for APS2,Description for Task 126 in APS2,Acceptance criteria for issue type Task in APS2 with issue key APS-4-12,Done,Ashwin,Bhuvi,Low,Task,2025-03-29,2025-03-14,[],['Auth Service'],Sprint 6,Completed,2025-03-12,2025-03-25,5,APS-4,FTC,CTB,APS2-8784
APS-4-13,APS2,TASK 127 for APS2,Description for Task 127 in APS2,Acceptance criteria for issue type Task in APS2 with issue key APS-4-13,Done,Dube,Bhuvi,Medium,Task,2025-03-21,2025-02-06,['bugfix'],['API'],Sprint 3,Completed,2025-01-28,2025-02-10,2,APS-4,FTE,CTB,APS2-8783
DIS-7-9,EBSNF,TASK 128 for EBSNF,Description for Task 128 in EBSNF,Acceptance criteria for issue type Task in EBSNF with issue key DIS-7-9,Done,Peter,Hinata,High,Task,2025-04-06,2025-02-15,['UI'],[],Sprint 4,Completed,2025-02-11,2025-02-24,1,DIS-7,FTC,RTB,EBSNF1-8786
DIS-6-7,EBSNF,TASK 129 for EBSNF,Description for Task 129 in EBSNF,Acceptance criteria for issue type Story in EBSNF with issue key DIS-6-7,In Progress,Peter,Hinata,High,Story,2025-03-28,,[],['Database'],Sprint 8,Active,2025-04-09,2025-04-22,5,DIS-6,FTC,CTB,EBSNF1-8784
APS-4-14,APS2,TASK 130 for APS2,Description for Task 130 in APS2,Acceptance criteria for issue type Story in APS2 with issue key APS-4-14,Done,Ashwin,Bhuvi,Low,Story,2025-03-23,2025-04-16,['UI'],['Payment Service'],Sprint 8,Active,2025-04-09,2025-04-22,5,APS-4,FTC,CTB,APS2-8783
APS-1-14,APS1,TASK 131 for APS1,Description for Task 131 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-1-14,Done,Nitish,Shreya,High,Story,2025-03-17,2025-03-17,['bugfix'],['Database'],Sprint 6,Completed,2025-03-12,2025-03-25,5,APS-1,FTE,CTB,APS1-8786
APS-2-17,APS1,TASK 132 for APS1,Description for Task 132 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-2-17,Done,Nitish,Madhu,Medium,Defect,2025-03-22,2025-03-05,['frontend'],['Payment Service'],Sprint 5,Completed,2025-02-25,2025-03-11,3,APS-2,FTE,RTB,APS1-8786
DIS-3-7,CDF,TASK 133 for CDF,Description for Task 133 in CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-3-7,Done,Hari,Tony,Low,Task,2025-03-18,2025-02-06,['backend'],['Database'],Sprint 3,Completed,2025-01-28,2025-02-10,3,DIS-3,FTE,RTB,CDF1-8786
DIS-5-3,EBSNF,TASK 134 for EBSNF,Description for Task 134 in EBSNF,Acceptance criteria for issue type Defect in EBSNF with issue key DIS-5-3,Done,Pavithra,Hinata,Low,Defect,2025-03-27,2025-03-26,['bugfix'],['Database'],Sprint 7,Completed,2025-03-26,2025-04-08,5,DIS-5,FTE,RTB,EBSNF1-8786
TES-2-15,TES1,TASK 135 for TES1,Description for Task 135 in TES1,Acceptance criteria for issue type Task in TES1 with issue key TES-2-15,Done,Sai,Shubman,High,Task,2025-04-08,2025-03-04,['enhancement'],['Database'],Sprint 5,Completed,2025-02-25,2025-03-11,2,TES-2,FTE,RTB,TES1-8783
APS-4-15,APS2,TASK 136 for APS2,Description for Task 136 in APS2,Acceptance criteria for issue type Defect in APS2 with issue key APS-4-15,Done,Ashwin,Bhuvi,High,Defect,2025-04-11,2025-01-30,['backend'],[],Sprint 3,Completed,2025-01-28,2025-02-10,3,APS-4,FTC,CTB,APS2-8786
TES-2-16,TES1,TASK 137 for TES1,Description for Task 137 in TES1,Acceptance criteria for issue type Story in TES1 with issue key TES-2-16,To Do,Sai,Shubman,Critical,Story,2025-04-01,,['frontend'],['UI'],Sprint 9,Future,2025-04-23,2025-05-06,1,TES-2,FTE,RTB,TES1-8783
APS-3-10,APS2,TASK 138 for APS2,Description for Task 138 in APS2,Acceptance criteria for issue type Task in APS2 with issue key APS-3-10,Done,Dube,Bhuvi,Medium,Task,2025-03-28,2025-01-04,['frontend'],['Auth Service'],Sprint 1,Completed,2025-01-01,2025-01-13,5,APS-3,FTE,RTB,APS2-8786
DIS-5-4,EBSNF,TASK 139 for EBSNF,Description for Task 139 in EBSNF,Acceptance criteria for issue type Defect in EBSNF with issue key DIS-5-4,Done,Pavithra,Hinata,Critical,Defect,2025-03-24,2025-02-26,['frontend'],['Payment Service'],Sprint 5,Completed,2025-02-25,2025-03-11,5,DIS-5,FTE,RTB,EBSNF1-8785
APS-2-18,APS1,TASK 140 for APS1,Description for Task 140 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-2-18,To Do,Nitish,Shreya,Medium,Story,2025-04-04,,['backend'],['Payment Service'],Sprint 9,Future,2025-04-23,2025-05-06,1,APS-2,FTE,RTB,APS1-8785
APS-4-16,APS2,TASK 141 for APS2,Description for Task 141 in APS2,Acceptance criteria for issue type Defect in APS2 with issue key APS-4-16,Done,Vikram,Ravi,Medium,Defect,2025-04-02,2024-12-31,['enhancement'],[],Sprint 1,Completed,2025-01-01,2025-01-13,2,APS-4,FTC,CTB,APS2-8786
TES-2-17,TES1,TASK 142 for TES1,Description for Task 142 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-2-17,In Progress,Krithika,Ishan,Critical,Defect,2025-03-28,,[],['UI'],Sprint 8,Active,2025-04-09,2025-04-22,2,TES-2,FTE,RTB,TES1-8785
APS-2-19,APS1,TASK 143 for APS1,Description for Task 143 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-2-19,Done,Noor,Shreya,Low,Defect,2025-04-04,2025-01-01,['backend'],[],Sprint 1,Completed,2025-01-01,2025-01-13,1,APS-2,FTE,RTB,APS1-8785
DIS-2-3,CDF,TASK 144 for CDF,Description for Task 144 in CDF,Acceptance criteria for issue type Story in CDF with issue key DIS-2-3,To Do,Alice,Tony,Medium,Story,2025-03-30,,['frontend'],['Auth Service'],Sprint 9,Future,2025-04-23,2025-05-06,5,DIS-2,FTC,CTB,CDF1-8786
APS-2-20,APS1,TASK 145 for APS1,Description for Task 145 in APS1,Acceptance criteria for issue type Task in APS1 with issue key APS-2-20,Done,Nitish,Madhu,Medium,Task,2025-04-05,2025-01-19,['bugfix'],['Payment Service'],Sprint 2,Completed,2025-01-14,2025-01-27,3,APS-2,FTE,RTB,APS1-8786
TES-2-18,TES1,TASK 146 for TES1,Description for Task 146 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-2-18,Done,David,Shubman,Critical,Defect,2025-03-24,2025-03-23,['UI'],['Auth Service'],Sprint 6,Completed,2025-03-12,2025-03-25,2,TES-2,FTC,RTB,TES1-8786
TES-3-11,TES2,TASK 147 for TES2,Description for Task 147 in TES2,Acceptance criteria for issue type Task in TES2 with issue key TES-3-11,Done,Rasheed,Pradeep,Medium,Task,2025-03-25,2025-02-26,['bugfix'],['Auth Service'],Sprint 5,Completed,2025-02-25,2025-03-11,3,TES-3,FTE,RTB,TES2-8785
DIS-2-4,CDF,TASK 148 for CDF,Description for Task 148 in CDF,Acceptance criteria for issue type Story in CDF with issue key DIS-2-4,In Progress,Apoorva,Naruto,Medium,Story,2025-03-24,,['backend'],['Payment Service'],Sprint 8,Active,2025-04-09,2025-04-22,3,DIS-2,FTE,CTB,CDF1-8786
TES-3-12,TES2,TASK 149 for TES2,Description for Task 149 in TES2,Acceptance criteria for issue type Task in TES2 with issue key TES-3-12,Done,Rachin,Pradeep,Critical,Task,2025-03-26,2025-02-12,['UI'],[],Sprint 4,Completed,2025-02-11,2025-02-24,5,TES-3,FTC,RTB,TES2-8786
APS-4-17,APS2,TASK 150 for APS2,Description for Task 150 in APS2,Acceptance criteria for issue type Defect in APS2 with issue key APS-4-17,Done,Dube,Bhuvi,Critical,Defect,2025-03-24,2025-03-19,['enhancement'],[],Sprint 6,Completed,2025-03-12,2025-03-25,1,APS-4,FTE,CTB,APS2-8784
TES-3-13,TES2,TASK 151 for TES2,Description for Task 151 in TES2,Acceptance criteria for issue type Story in TES2 with issue key TES-3-13,Done,Rachin,Pradeep,Critical,Story,2025-04-11,2025-02-12,['backend'],['UI'],Sprint 4,Completed,2025-02-11,2025-02-24,2,TES-3,FTC,RTB,TES2-8784
APS-3-11,APS2,TASK 152 for APS2,Description for Task 152 in APS2,Acceptance criteria for issue type Story in APS2 with issue key APS-3-11,Done,Vikram,Bhuvi,Critical,Story,2025-03-30,2025-01-04,[],['Database'],Sprint 1,Completed,2025-01-01,2025-01-13,1,APS-3,FTC,RTB,APS2-8786
APS-4-18,APS2,TASK 153 for APS2,Description for Task 153 in APS2,Acceptance criteria for issue type Defect in APS2 with issue key APS-4-18,Done,Dube,Ravi,Critical,Defect,2025-03-30,2025-02-08,['enhancement'],[],Sprint 3,Completed,2025-01-28,2025-02-10,2,APS-4,FTE,CTB,APS2-8784
APS-1-15,APS1,TASK 154 for APS1,Description for Task 154 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-1-15,In Progress,Nitish,Shreya,Medium,Defect,2025-04-07,,['backend'],[],Sprint 8,Active,2025-04-09,2025-04-22,1,APS-1,FTE,CTB,APS1-8786
APS-4-19,APS2,TASK 155 for APS2,Description for Task 155 in APS2,Acceptance criteria for issue type Story in APS2 with issue key APS-4-19,To Do,Ashwin,Ravi,Medium,Story,2025-04-02,,['backend'],['UI'],Sprint 9,Future,2025-04-23,2025-05-06,1,APS-4,FTC,CTB,APS2-8785
TES-2-19,TES1,TASK 156 for TES1,Description for Task 156 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-2-19,Done,Krithika,Ishan,High,Defect,2025-03-31,2025-04-02,['enhancement'],['API'],Sprint 7,Completed,2025-03-26,2025-04-08,5,TES-2,FTE,RTB,TES1-8785
TES-4-5,TES2,TASK 157 for TES2,Description for Task 157 in TES2,Acceptance criteria for issue type Story in TES2 with issue key TES-4-5,Done,Seetha,Smrithi,Medium,Story,2025-04-11,2025-02-26,['UI'],['Auth Service'],Sprint 5,Completed,2025-02-25,2025-03-11,2,TES-4,FTC,CTB,TES2-8786
TES-1-16,TES1,TASK 158 for TES1,Description for Task 158 in TES1,Acceptance criteria for issue type Story in TES1 with issue key TES-1-16,Done,David,Ishan,Medium,Story,2025-03-23,2025-01-29,['backend'],['Payment Service'],Sprint 3,Completed,2025-01-28,2025-02-10,2,TES-1,FTC,CTB,TES1-8783
APS-4-20,APS2,TASK 159 for APS2,Description for Task 159 in APS2,Acceptance criteria for issue type Defect in APS2 with issue key APS-4-20,Done,Dube,Bhuvi,Medium,Defect,2025-03-26,2025-01-15,['UI'],['Database'],Sprint 2,Completed,2025-01-14,2025-01-27,3,APS-4,FTE,CTB,APS2-8786
TES-3-14,TES2,TASK 160 for TES2,Description for Task 160 in TES2,Acceptance criteria for issue type Defect in TES2 with issue key TES-3-14,Done,Rasheed,Smrithi,Low,Defect,2025-03-19,2025-01-03,['UI'],['Payment Service'],Sprint 1,Completed,2025-01-01,2025-01-13,5,TES-3,FTE,RTB,TES2-8785
APS-1-16,APS1,TASK 161 for APS1,Description for Task 161 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-1-16,Done,Khaleel,Madhu,Low,Story,2025-04-01,2025-01-22,['backend'],['Auth Service'],Sprint 2,Completed,2025-01-14,2025-01-27,5,APS-1,FTC,CTB,APS1-8784
TES-1-17,TES1,TASK 162 for TES1,Description for Task 162 in TES1,Acceptance criteria for issue type Task in TES1 with issue key TES-1-17,Done,Sai,Shubman,Critical,Task,2025-04-06,2025-04-16,['bugfix'],['Payment Service'],Sprint 8,Active,2025-04-09,2025-04-22,3,TES-1,FTE,CTB,TES1-8785
DIS-3-8,CDF,TASK 163 for CDF,Description for Task 163 in CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-3-8,Done,Alice,Tony,Low,Task,2025-03-28,2025-01-30,[],['Payment Service'],Sprint 3,Completed,2025-01-28,2025-02-10,1,DIS-3,FTC,RTB,CDF1-8786
APS-2-21,APS1,TASK 164 for APS1,Description for Task 164 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-2-21,Done,Nitish,Madhu,Medium,Story,2025-03-25,2025-03-10,['frontend'],[],Sprint 5,Completed,2025-02-25,2025-03-11,5,APS-2,FTE,RTB,APS1-8784
APS-1-17,APS1,TASK 165 for APS1,Description for Task 165 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-1-17,To Do,Noor,Madhu,Medium,Story,2025-03-21,,['UI'],['Payment Service'],Sprint 9,Future,2025-04-23,2025-05-06,5,APS-1,FTE,CTB,APS1-8785
DIS-7-10,EBSNF,TASK 166 for EBSNF,Description for Task 166 in EBSNF,Acceptance criteria for issue type Task in EBSNF with issue key DIS-7-10,Done,Pavithra,Hinata,Medium,Task,2025-03-25,2025-02-21,['backend'],['API'],Sprint 4,Completed,2025-02-11,2025-02-24,2,DIS-7,FTE,RTB,EBSNF1-8784
TES-3-15,TES2,TASK 167 for TES2,Description for Task 167 in TES2,Acceptance criteria for issue type Task in TES2 with issue key TES-3-15,Done,Rachin,Pradeep,Low,Task,2025-03-19,2025-02-23,['frontend'],['Database'],Sprint 4,Completed,2025-02-11,2025-02-24,3,TES-3,FTC,RTB,TES2-8786
APS-4-21,APS2,TASK 168 for APS2,Description for Task 168 in APS2,Acceptance criteria for issue type Defect in APS2 with issue key APS-4-21,Done,Vikram,Bhuvi,Low,Defect,2025-04-11,2025-03-27,['frontend'],['UI'],Sprint 7,Completed,2025-03-26,2025-04-08,2,APS-4,FTC,CTB,APS2-8783
DIS-7-11,EBSNF,TASK 169 for EBSNF,Description for Task 169 in EBSNF,Acceptance criteria for issue type Defect in EBSNF with issue key DIS-7-11,Done,Peter,Zoro,Low,Defect,2025-04-10,2025-01-30,[],[],Sprint 3,Completed,2025-01-28,2025-02-10,3,DIS-7,FTC,RTB,EBSNF1-8785
DIS-5-5,EBSNF,TASK 170 for EBSNF,Description for Task 170 in EBSNF,Acceptance criteria for issue type Story in EBSNF with issue key DIS-5-5,Done,Peter,Hinata,Low,Story,2025-04-06,2025-02-13,['frontend'],['API'],Sprint 4,Completed,2025-02-11,2025-02-24,5,DIS-5,FTC,RTB,EBSNF1-8786
DIS-7-12,EBSNF,TASK 171 for EBSNF,Description for Task 171 in EBSNF,Acceptance criteria for issue type Defect in EBSNF with issue key DIS-7-12,To Do,Alok,Zoro,High,Defect,2025-03-21,,['enhancement'],['API'],Sprint 8,Active,2025-04-09,2025-04-22,1,DIS-7,FTE,RTB,EBSNF1-8786
TES-2-20,TES1,TASK 172 for TES1,Description for Task 172 in TES1,Acceptance criteria for issue type Task in TES1 with issue key TES-2-20,Done,Krithika,Ishan,Medium,Task,2025-04-09,2025-02-26,['bugfix'],['Payment Service'],Sprint 5,Completed,2025-02-25,2025-03-11,3,TES-2,FTE,RTB,TES1-8783
TES-4-6,TES2,TASK 173 for TES2,Description for Task 173 in TES2,Acceptance criteria for issue type Story in TES2 with issue key TES-4-6,Done,Rasheed,Smrithi,Low,Story,2025-04-09,2024-12-31,['bugfix'],['Auth Service'],Sprint 1,Completed,2025-01-01,2025-01-13,1,TES-4,FTE,CTB,TES2-8785
APS-2-22,APS1,TASK 174 for APS1,Description for Task 174 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-2-22,In Progress,Noor,Shreya,Medium,Story,2025-04-05,,['backend'],['Auth Service'],Sprint 8,Active,2025-04-09,2025-04-22,2,APS-2,FTE,RTB,APS1-8786
TES-4-7,TES2,TASK 175 for TES2,Description for Task 175 in TES2,Acceptance criteria for issue type Defect in TES2 with issue key TES-4-7,Done,Rachin,Smrithi,Critical,Defect,2025-04-11,2025-04-04,['backend'],['Database'],Sprint 7,Completed,2025-03-26,2025-04-08,1,TES-4,FTC,CTB,TES2-8786
